group,bottleneck,field,pattern,required_check,A_value,B_value,AB_value,detail,result,ab_kind
1,Semantic Mismatch,Title,One-Way,Coverage threshold ≥ 0.50,"flake, a one-dimensional lake physics model; flake_static_parameters; kirillin v.; zhan q.","pclake+, a process-based ecological model for lakes; pclakeplus_static_parameters; janse j.h.; janssen a.b.g.; zhan q.","integrated lake ecosystem, service modeling framework","A→AB:0.20 (covered: lake) | B→AB:0.00 (covered: —) | A∪B→AB:0.20 (covered: lake) | uncovered_AB: ecosystem, integrated, modeling, service",Mismatch,INTENDED
1,Semantic Mismatch,Model Version,One-Way,Coverage vs AB,2023.1,2023.1,,AB value missing.,Missing,INTENDED
1,Semantic Mismatch,Description,One-Way,Coverage threshold ≥ 0.50,"flake is a process-based, one-dimensional numerical model designed to simulate the vertical temperature structure, mixing depth, ice cover of lakes using meteorological inputs.; defines lake-specific constants like depth, albedo, sediment heat flux coeffs","a process-based mechanistic model simulating nutrient cycling, food web dynamics, water quality, ecosystem service provisioning in freshwater lakes, including vertical stratification.; constants for biogeochemistry, food web, sediment processes; daily mixing depth, temperature profile from flake","a conceptual framework to integrate a physical lake model with an ecological process model, an ecosystem service evaluation module. the goal is to simulate the influence of restoration, climate scenarios on ecological state, ecosystem service provisioning in freshwater lake systems. specific model components will be selected based on fitness for purpose, availability.; output from physical lake model e.g., temperature profile, mixing depth","A→AB:0.27 (covered: based, depth, is, lake, mixing, process, simulate, specific, temperature) | B→AB:0.30 (covered: based, depth, ecosystem, freshwater, mixing, process, profile, provisioning, service, temperature) | A∪B→AB:0.42 (covered: based, depth, ecosystem, freshwater, is, lake, mixing, process, profile, provisioning, service, simulate, specific, temperature) | uncovered_AB: availability, be, climate, conceptual, ecological, evaluation, fitness, goal, influence, integrate, module, physical, purpose, restoration, scenarios, selected, state, systems, will",Mismatch,INTENDED
1,Semantic Mismatch,Keywords,One-Way,Coverage threshold ≥ 0.50,lake physics; thermal stratification; mixing depth; heat balance; climate change; aquatic modeling,lake ecology; eutrophication; nutrient cycling; water quality; ecosystem services; restoration; trophic interactions,ecosystem services; lake modeling; model integration; restoration assessment; climate impact; model coupling,"A→AB:0.30 (covered: climate, lake, modeling) | B→AB:0.40 (covered: ecosystem, lake, restoration, services) | A∪B→AB:0.60 (covered: climate, ecosystem, lake, modeling, restoration, services) | uncovered_AB: assessment, coupling, impact, integration",Match,INTENDED
1,Semantic Mismatch,Model Type,One-Way,Coverage threshold ≥ 0.50,"mechanistic, process-based model",mechanistic,mechanistic,A→AB:1.00 (covered: mechanistic) | B→AB:1.00 (covered: mechanistic) | A∪B→AB:1.00 (covered: mechanistic) | uncovered_AB: —,Match,INTENDED
1,Semantic Mismatch,Scope,One-Way,Coverage threshold ≥ 0.50,"simulation of temperature dynamics, mixing in freshwater lakes","freshwater lakes, shallow, deep with vertical stratification","freshwater lakes, reservoirs","A→AB:0.67 (covered: freshwater, lakes) | B→AB:0.67 (covered: freshwater, lakes) | A∪B→AB:0.67 (covered: freshwater, lakes) | uncovered_AB: reservoirs",Match,INTENDED
1,Semantic Mismatch,Purpose & Pattern,One-Way,Coverage threshold ≥ 0.50,"forecast lake thermal stratification, mixing depth for climate, water quality studies; one-way data provider to ecological or water quality models","simulate ecological responses of lakes to nutrient loading, restoration, climate scenarios; consumes boundary conditions from external physical models","simulate physical, ecological lake processes, translate ecological outcomes into ecosystem service provisioning metrics; one-way transfer from physical to ecological model; one-way","A→AB:0.29 (covered: ecological, lake, one, way) | B→AB:0.21 (covered: ecological, physical, simulate) | A∪B→AB:0.43 (covered: ecological, lake, one, physical, simulate, way) | uncovered_AB: ecosystem, metrics, outcomes, processes, provisioning, service, transfer, translate",Mismatch,INTENDED
1,Semantic Mismatch,Assumptions,One-Way,Coverage threshold ≥ 0.50,vertical processes dominate 1d structure; lateral homogeneity; energy balance drives stratification; meteorological forcing sufficiently describes external conditions,1d vertical structure captures key ecological processes; external loads dominate nutrient inputs; no feedback to physical model,1d vertical structure tentative; physical lake processes can influence ecological dynamics; ecosystem services can be inferred from ecological state indicators; no feedback from ecological model to physical model,"A→AB:0.21 (covered: 1d, processes, structure, vertical) | B→AB:0.42 (covered: 1d, ecological, feedback, no, physical, processes, structure, vertical) | A∪B→AB:0.42 (covered: 1d, ecological, feedback, no, physical, processes, structure, vertical) | uncovered_AB: be, can, dynamics, ecosystem, indicators, inferred, influence, lake, services, state, tentative",Mismatch,INTENDED
1,Conceptual Quality Gap,Links to Publications & Reports,One-Way,Pattern-agnostic,"kirillin et al., 2011; zhan et al., 2023",janse 2005; janse et al. 2010; janssen et al. 2019; zhan et al. 2023,,Both provide metadata.,Match,INTENDED
1,Conceptual Quality Gap,Authors’ Unique Identifier,One-Way,Pattern-agnostic,"kirillin v.; https, / / orcid.org / 0000-0002-9837-2461; model development, validation; zhan q.; https, / / orcid.org / 0000-0002-7765-5155; integration into climate-ecological workflows","janse j.h.; https, / / orcid.org / 0000-0003-1636-679x; developer, calibration, validation; janssen a.b.g.; ecological modeling, analysis; zhan q.; integration testing",,Both provide metadata.,Match,INTENDED
